GENE,Lt_node,Lt_paralog,Lt_event,St_node
0001,'1_0',0,Leaf,'1'
0001,'2_0',0,Leaf,'2'
0001,'7_0',0,Leaf,'7'
0001,'22_0',0,Leaf,'22'
0001,4,0,Sp,4
0001,'6_0',0,Leaf,'6'
0001,6,0,Sp,6
0001,'20_0',0,Leaf,'20'
0001,'15_0',0,Leaf,'15'
0001,9,0,Sp,9
0001,'19_0',0,Leaf,'19'
0001,11,0,Sp,11
0001,12,0,Sp,12
0001,'16_0',0,Leaf,'16'
0001,'16_2',2,Leaf,'16'
0001,15,0,Dup,'16'
0001,16,0,Sp,14
0001,'7_1',1,Leaf,'7'
0001,'22_1',1,Leaf,'22'
0001,19,1,Sp,4
0001,'6_1',1,Leaf,'6'
0001,21,1,Sp,6
0001,'20_1',1,Leaf,'20'
0001,'15_1',1,Leaf,'15'
0001,24,1,Sp,9
0001,'19_1',1,Leaf,'19'
0001,26,1,Sp,11
0001,27,1,Sp,12
0001,'16_1',1,Leaf,'16'
0001,29,1,Sp,14
0001,30,0,Dup,14
0001,31,0,Sp,15
0001,'18_0',0,Leaf,'18'
0001,'10_0',0,Leaf,'10'
0001,'4_0',0,Leaf,'4'
0001,'4_3',3,Leaf,'4'
0001,36,0,Dup,'4'
0001,37,0,Sp,19
0001,'21_0',0,Leaf,'21'
0001,'12_0',0,Leaf,'12'
0001,'25_0',0,Leaf,'25'
0001,'13_0',0,Leaf,'13'
0001,42,0,Sp,24
0001,43,0,Sp,25
0001,44,0,Sp,26
0001,45,0,Sp,27
0001,'3_0',0,Leaf,'3'
0001,'24_0',0,Leaf,'24'
0001,48,0,Sp,30
0001,'14_0',0,Leaf,'14'
0001,50,0,Sp,32
0001,'5_0',0,Leaf,'5'
0001,'8_0',0,Leaf,'8'
0001,'11_0',0,Leaf,'11'
0001,54,0,Sp,36
0001,'23_0',0,Leaf,'23'
0001,56,0,Sp,38
0001,57,0,Sp,39
0001,'17_0',0,Leaf,'17'
0001,'9_0',0,Leaf,'9'
0001,60,0,Sp,42
0001,61,0,Sp,43
0001,62,0,Sp,44
0001,63,0,Sp,45
0001,64,0,Sp,46
0001,65,0,Sp,47
0001,66,0,Sp,48
0002,'1_0',0,Leaf,'1'
0002,'2_0',0,Leaf,'2'
0002,'Lost-1_1',1,Loss,1
0002,3,0,Dup,'2'
0002,'7_0',0,Leaf,'7'
0002,'22_0',0,Leaf,'22'
0002,6,0,Sp,4
0002,'6_0',0,Leaf,'6'
0002,8,0,Sp,6
0002,'20_0',0,Leaf,'20'
0002,'15_0',0,Leaf,'15'
0002,11,0,Sp,9
0002,'19_0',0,Leaf,'19'
0002,13,0,Sp,11
0002,14,0,Sp,12
0002,'16_0',0,Leaf,'16'
0002,16,0,Sp,14
0002,17,0,Sp,15
0002,'18_0',0,Leaf,'18'
0002,'10_0',0,Leaf,'10'
0002,'4_0',0,Leaf,'4'
0002,21,0,Sp,19
0002,'21_0',0,Leaf,'21'
0002,'12_0',0,Leaf,'12'
