DLRT,PSIZ,REPL,SQLN,NGEN,MTHD,SENL,SEI1,SEI2,SEFP,SEFN,SERF
0.0,50000000,09,0,25,split-astrid,50,47,47,0,0,0.000000
0.0,50000000,09,0,25,split,50,47,47,0,0,0.000000
0.0,50000000,09,0,25,astral,50,47,47,0,0,0.000000
0.0,50000000,09,0,25,astrid,50,47,47,0,0,0.000000
0.0,50000000,10,0,25,njst,50,47,47,1,1,0.021277
0.0,50000000,10,0,25,split-astrid,50,47,47,1,1,0.021277
0.0,50000000,10,0,25,split,50,47,47,1,1,0.021277
0.0,50000000,10,0,25,astral,50,47,47,1,1,0.021277
0.0,50000000,10,0,25,astrid,50,47,47,1,1,0.021277
0.0000000001,1000,01,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,1000,01,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000001,1000,01,0,25,split,50,47,47,0,0,0.000000
0.0000000001,1000,01,0,25,astral,50,47,47,0,0,0.000000
0.0000000001,1000,01,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,1000,02,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,1000,02,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000001,1000,02,0,25,split,50,47,47,0,0,0.000000
0.0000000001,1000,02,0,25,astral,50,47,47,0,0,0.000000
0.0000000001,1000,02,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,1000,03,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,1000,03,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000001,1000,03,0,25,split,50,47,47,0,0,0.000000
0.0000000001,1000,03,0,25,astral,50,47,47,0,0,0.000000
0.0000000001,1000,03,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,1000,04,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,1000,04,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000001,1000,04,0,25,split,50,47,47,0,0,0.000000
0.0000000001,1000,04,0,25,astral,50,47,47,0,0,0.000000
0.0000000001,1000,04,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,1000,05,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,1000,05,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000001,1000,05,0,25,split,50,47,47,0,0,0.000000
0.0000000001,1000,05,0,25,astral,50,47,47,0,0,0.000000
0.0000000001,1000,05,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,1000,06,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,1000,06,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000001,1000,06,0,25,split,50,47,47,0,0,0.000000
0.0000000001,1000,06,0,25,astral,50,47,47,0,0,0.000000
0.0000000001,1000,06,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,1000,07,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,1000,07,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000001,1000,07,0,25,split,50,47,47,0,0,0.000000
0.0000000001,1000,07,0,25,astral,50,47,47,0,0,0.000000
0.0000000001,1000,07,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,1000,08,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,1000,08,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000001,1000,08,0,25,split,50,47,47,0,0,0.000000
0.0000000001,1000,08,0,25,astral,50,47,47,0,0,0.000000
0.0000000001,1000,08,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,1000,09,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,1000,09,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000001,1000,09,0,25,split,50,47,47,0,0,0.000000
0.0000000001,1000,09,0,25,astral,50,47,47,0,0,0.000000
0.0000000001,1000,09,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,1000,10,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,1000,10,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000001,1000,10,0,25,split,50,47,47,0,0,0.000000
0.0000000001,1000,10,0,25,astral,50,47,47,0,0,0.000000
0.0000000001,1000,10,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,50000000,01,0,25,njst,50,47,47,1,1,0.021277
0.0000000001,50000000,01,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000001,50000000,01,0,25,split,50,47,47,0,0,0.000000
0.0000000001,50000000,01,0,25,astral,50,47,47,0,0,0.000000
0.0000000001,50000000,01,0,25,astrid,50,47,47,1,1,0.021277
0.0000000001,50000000,02,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,50000000,02,0,25,split-astrid,50,47,47,3,3,0.063830
0.0000000001,50000000,02,0,25,split,50,47,47,2,2,0.042553
0.0000000001,50000000,02,0,25,astral,50,47,47,1,1,0.021277
0.0000000001,50000000,02,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,50000000,03,0,25,njst,50,47,47,1,1,0.021277
0.0000000001,50000000,03,0,25,split-astrid,50,47,47,4,4,0.085106
0.0000000001,50000000,03,0,25,split,50,47,47,3,3,0.063830
0.0000000001,50000000,03,0,25,astral,50,47,47,1,1,0.021277
0.0000000001,50000000,03,0,25,astrid,50,47,47,1,1,0.021277
0.0000000001,50000000,04,0,25,njst,50,47,47,2,2,0.042553
0.0000000001,50000000,04,0,25,split-astrid,50,47,47,3,3,0.063830
0.0000000001,50000000,04,0,25,split,50,47,47,1,1,0.021277
0.0000000001,50000000,04,0,25,astral,50,47,47,0,0,0.000000
0.0000000001,50000000,04,0,25,astrid,50,47,47,2,2,0.042553
0.0000000001,50000000,05,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,50000000,05,0,25,split-astrid,50,47,47,1,1,0.021277
0.0000000001,50000000,05,0,25,split,50,47,47,4,4,0.085106
0.0000000001,50000000,05,0,25,astral,50,47,47,1,1,0.021277
0.0000000001,50000000,05,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,50000000,06,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,50000000,06,0,25,split-astrid,50,47,47,6,6,0.127660
0.0000000001,50000000,06,0,25,split,50,47,47,3,3,0.063830
0.0000000001,50000000,06,0,25,astral,50,47,47,0,0,0.000000
0.0000000001,50000000,06,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,50000000,07,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,50000000,07,0,25,split-astrid,50,47,47,9,9,0.191489
0.0000000001,50000000,07,0,25,split,50,47,47,4,4,0.085106
0.0000000001,50000000,07,0,25,astral,50,47,47,1,1,0.021277
0.0000000001,50000000,07,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,50000000,08,0,25,njst,50,47,47,1,1,0.021277
0.0000000001,50000000,08,0,25,split-astrid,50,47,47,4,4,0.085106
0.0000000001,50000000,08,0,25,split,50,47,47,3,3,0.063830
0.0000000001,50000000,08,0,25,astral,50,47,47,1,1,0.021277
0.0000000001,50000000,08,0,25,astrid,50,47,47,1,1,0.021277
0.0000000001,50000000,09,0,25,njst,50,47,47,0,0,0.000000
0.0000000001,50000000,09,0,25,split-astrid,50,47,47,4,4,0.085106
0.0000000001,50000000,09,0,25,split,50,47,47,1,1,0.021277
0.0000000001,50000000,09,0,25,astral,50,47,47,1,1,0.021277
0.0000000001,50000000,09,0,25,astrid,50,47,47,0,0,0.000000
0.0000000001,50000000,10,0,25,njst,50,47,47,1,1,0.021277
0.0000000001,50000000,10,0,25,split-astrid,50,47,47,5,5,0.106383
0.0000000001,50000000,10,0,25,split,50,47,47,0,0,0.000000
0.0000000001,50000000,10,0,25,astral,50,47,47,1,1,0.021277
0.0000000001,50000000,10,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,1000,01,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,1000,01,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000002,1000,01,0,25,split,50,47,47,0,0,0.000000
0.0000000002,1000,01,0,25,astral,50,47,47,0,0,0.000000
0.0000000002,1000,01,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,1000,02,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,1000,02,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000002,1000,02,0,25,split,50,47,47,0,0,0.000000
0.0000000002,1000,02,0,25,astral,50,47,47,0,0,0.000000
0.0000000002,1000,02,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,1000,03,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,1000,03,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000002,1000,03,0,25,split,50,47,47,0,0,0.000000
0.0000000002,1000,03,0,25,astral,50,47,47,0,0,0.000000
0.0000000002,1000,03,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,1000,04,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,1000,04,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000002,1000,04,0,25,split,50,47,47,0,0,0.000000
0.0000000002,1000,04,0,25,astral,50,47,47,0,0,0.000000
0.0000000002,1000,04,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,1000,05,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,1000,05,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000002,1000,05,0,25,split,50,47,47,0,0,0.000000
0.0000000002,1000,05,0,25,astral,50,47,47,0,0,0.000000
0.0000000002,1000,05,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,1000,06,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,1000,06,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000002,1000,06,0,25,split,50,47,47,0,0,0.000000
0.0000000002,1000,06,0,25,astral,50,47,47,1,1,0.021277
0.0000000002,1000,06,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,1000,07,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,1000,07,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000002,1000,07,0,25,split,50,47,47,0,0,0.000000
0.0000000002,1000,07,0,25,astral,50,47,47,0,0,0.000000
0.0000000002,1000,07,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,1000,08,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,1000,08,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000002,1000,08,0,25,split,50,47,47,0,0,0.000000
0.0000000002,1000,08,0,25,astral,50,47,47,1,1,0.021277
0.0000000002,1000,08,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,1000,09,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,1000,09,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000002,1000,09,0,25,split,50,47,47,0,0,0.000000
0.0000000002,1000,09,0,25,astral,50,47,47,0,0,0.000000
0.0000000002,1000,09,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,1000,10,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,1000,10,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000002,1000,10,0,25,split,50,47,47,0,0,0.000000
0.0000000002,1000,10,0,25,astral,50,47,47,0,0,0.000000
0.0000000002,1000,10,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,50000000,01,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,50000000,01,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000002,50000000,01,0,25,split,50,47,47,0,0,0.000000
0.0000000002,50000000,01,0,25,astral,50,47,47,0,0,0.000000
0.0000000002,50000000,01,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,50000000,02,0,25,njst,50,47,47,4,4,0.085106
0.0000000002,50000000,02,0,25,split-astrid,50,47,47,2,2,0.042553
0.0000000002,50000000,02,0,25,split,50,47,47,4,4,0.085106
0.0000000002,50000000,02,0,25,astral,50,47,47,3,3,0.063830
0.0000000002,50000000,02,0,25,astrid,50,47,47,2,2,0.042553
0.0000000002,50000000,03,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,50000000,03,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000002,50000000,03,0,25,split,50,47,47,3,3,0.063830
0.0000000002,50000000,03,0,25,astral,50,47,47,0,0,0.000000
0.0000000002,50000000,03,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,50000000,04,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,50000000,04,0,25,split-astrid,50,47,47,1,1,0.021277
0.0000000002,50000000,04,0,25,split,50,47,47,2,2,0.042553
0.0000000002,50000000,04,0,25,astral,50,47,47,2,2,0.042553
0.0000000002,50000000,04,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,50000000,05,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,50000000,05,0,25,split-astrid,50,47,47,10,10,0.212766
0.0000000002,50000000,05,0,25,split,50,47,47,2,2,0.042553
0.0000000002,50000000,05,0,25,astral,50,47,47,2,2,0.042553
0.0000000002,50000000,05,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,50000000,06,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,50000000,06,0,25,split-astrid,50,47,47,5,5,0.106383
0.0000000002,50000000,06,0,25,split,50,47,47,5,5,0.106383
0.0000000002,50000000,06,0,25,astral,50,47,47,1,1,0.021277
0.0000000002,50000000,06,0,25,astrid,50,47,47,0,0,0.000000
0.0000000002,50000000,07,0,25,njst,50,47,47,2,2,0.042553
0.0000000002,50000000,07,0,25,split-astrid,50,47,47,2,2,0.042553
0.0000000002,50000000,07,0,25,split,50,47,47,2,2,0.042553
0.0000000002,50000000,07,0,25,astral,50,47,47,4,4,0.085106
0.0000000002,50000000,07,0,25,astrid,50,47,47,2,2,0.042553
0.0000000002,50000000,08,0,25,njst,50,47,47,2,2,0.042553
0.0000000002,50000000,08,0,25,split-astrid,50,47,47,1,1,0.021277
0.0000000002,50000000,08,0,25,split,50,47,47,4,4,0.085106
0.0000000002,50000000,08,0,25,astral,50,47,47,1,1,0.021277
0.0000000002,50000000,08,0,25,astrid,50,47,47,1,1,0.021277
0.0000000002,50000000,09,0,25,njst,50,47,47,2,2,0.042553
0.0000000002,50000000,09,0,25,split-astrid,50,47,47,2,2,0.042553
0.0000000002,50000000,09,0,25,split,50,47,47,4,4,0.085106
0.0000000002,50000000,09,0,25,astral,50,47,47,0,0,0.000000
0.0000000002,50000000,09,0,25,astrid,50,47,47,2,2,0.042553
0.0000000002,50000000,10,0,25,njst,50,47,47,0,0,0.000000
0.0000000002,50000000,10,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000002,50000000,10,0,25,split,50,47,47,1,1,0.021277
0.0000000002,50000000,10,0,25,astral,50,47,47,0,0,0.000000
0.0000000002,50000000,10,0,25,astrid,50,47,47,0,0,0.000000
0.0000000005,1000,01,0,25,njst,50,47,47,0,0,0.000000
0.0000000005,1000,01,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000005,1000,01,0,25,split,50,47,47,0,0,0.000000
0.0000000005,1000,01,0,25,astral,50,47,47,1,1,0.021277
0.0000000005,1000,01,0,25,astrid,50,47,47,0,0,0.000000
0.0000000005,1000,02,0,25,njst,50,47,47,0,0,0.000000
0.0000000005,1000,02,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000005,1000,02,0,25,split,50,47,47,0,0,0.000000
0.0000000005,1000,02,0,25,astral,50,47,47,1,1,0.021277
0.0000000005,1000,02,0,25,astrid,50,47,47,0,0,0.000000
0.0000000005,1000,03,0,25,njst,50,47,47,0,0,0.000000
0.0000000005,1000,03,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000005,1000,03,0,25,split,50,47,47,0,0,0.000000
0.0000000005,1000,03,0,25,astral,50,47,47,1,1,0.021277
0.0000000005,1000,03,0,25,astrid,50,47,47,0,0,0.000000
0.0000000005,1000,04,0,25,njst,50,47,47,0,0,0.000000
0.0000000005,1000,04,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000005,1000,04,0,25,split,50,47,47,0,0,0.000000
0.0000000005,1000,04,0,25,astral,50,47,47,0,0,0.000000
0.0000000005,1000,04,0,25,astrid,50,47,47,0,0,0.000000
0.0000000005,1000,05,0,25,njst,50,47,47,1,1,0.021277
0.0000000005,1000,05,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000005,1000,05,0,25,split,50,47,47,0,0,0.000000
0.0000000005,1000,05,0,25,astral,50,47,47,0,0,0.000000
0.0000000005,1000,05,0,25,astrid,50,47,47,0,0,0.000000
0.0000000005,1000,06,0,25,njst,50,47,47,0,0,0.000000
0.0000000005,1000,06,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000005,1000,06,0,25,split,50,47,47,0,0,0.000000
0.0000000005,1000,06,0,25,astral,50,47,47,1,1,0.021277
0.0000000005,1000,06,0,25,astrid,50,47,47,0,0,0.000000
0.0000000005,1000,07,0,25,njst,50,47,47,0,0,0.000000
0.0000000005,1000,07,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000005,1000,07,0,25,split,50,47,47,0,0,0.000000
0.0000000005,1000,07,0,25,astral,50,47,47,0,0,0.000000
0.0000000005,1000,07,0,25,astrid,50,47,47,0,0,0.000000
0.0000000005,1000,08,0,25,njst,50,47,47,0,0,0.000000
0.0000000005,1000,08,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000005,1000,08,0,25,split,50,47,47,0,0,0.000000
0.0000000005,1000,08,0,25,astral,50,47,47,1,1,0.021277
0.0000000005,1000,08,0,25,astrid,50,47,47,0,0,0.000000
0.0000000005,1000,09,0,25,njst,NA,NA,NA,NA,NA,NA
0.0000000005,1000,09,0,25,split-astrid,NA,NA,NA,NA,NA,NA
0.0000000005,1000,09,0,25,split,50,47,47,2,2,0.042553
0.0000000005,1000,09,0,25,astral,50,47,47,4,4,0.085106
0.0000000005,1000,09,0,25,astrid,NA,NA,NA,NA,NA,NA
0.0000000005,1000,10,0,25,njst,50,47,47,0,0,0.000000
0.0000000005,1000,10,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000005,1000,10,0,25,split,50,47,47,0,0,0.000000
0.0000000005,1000,10,0,25,astral,50,47,47,2,2,0.042553
0.0000000005,1000,10,0,25,astrid,50,47,47,0,0,0.000000
0.0000000005,50000000,01,0,25,njst,50,47,47,1,1,0.021277
0.0000000005,50000000,01,0,25,split-astrid,50,47,47,0,0,0.000000
0.0000000005,50000000,01,0,25,split,50,47,47,0,0,0.000000
0.0000000005,50000000,01,0,25,astral,50,47,47,2,2,0.042553
0.0000000005,50000000,01,0,25,astrid,50,47,47,1,1,0.021277
0.0000000005,50000000,02,0,25,njst,50,47,47,1,1,0.021277
0.0000000005,50000000,02,0,25,split-astrid,50,47,47,1,1,0.021277
0.0000000005,50000000,02,0,25,split,50,47,47,1,1,0.021277
0.0000000005,50000000,02,0,25,astral,50,47,47,5,5,0.106383
0.0000000005,50000000,02,0,25,astrid,50,47,47,1,1,0.021277
0.0000000005,50000000,03,0,25,njst,50,47,47,2,2,0.042553
0.0000000005,50000000,03,0,25,split-astrid,50,47,47,3,3,0.063830
0.0000000005,50000000,03,0,25,split,50,47,47,3,3,0.063830
0.0000000005,50000000,03,0,25,astral,50,47,47,4,4,0.085106
0.0000000005,50000000,03,0,25,astrid,50,47,47,2,2,0.042553
0.0000000005,50000000,04,0,25,njst,50,47,47,2,2,0.042553
0.0000000005,50000000,04,0,25,split-astrid,50,47,47,1,1,0.021277
0.0000000005,50000000,04,0,25,split,50,47,47,1,1,0.021277
0.0000000005,50000000,04,0,25,astral,50,47,47,3,3,0.063830
0.0000000005,50000000,04,0,25,astrid,50,47,47,2,2,0.042553
0.0000000005,50000000,05,0,25,njst,50,47,47,2,2,0.042553
0.0000000005,50000000,05,0,25,split-astrid,50,47,47,2,2,0.042553
0.0000000005,50000000,05,0,25,split,50,47,47,2,2,0.042553
0.0000000005,50000000,05,0,25,astral,50,47,47,3,3,0.063830
0.0000000005,50000000,05,0,25,astrid,50,47,47,3,3,0.063830
0.0000000005,50000000,06,0,25,njst,50,47,47,3,3,0.063830
0.0000000005,50000000,06,0,25,split-astrid,50,47,47,4,4,0.085106
0.0000000005,50000000,06,0,25,split,50,47,47,6,6,0.127660
0.0000000005,50000000,06,0,25,astral,50,47,47,8,8,0.170213
0.0000000005,50000000,06,0,25,astrid,50,47,47,3,3,0.063830
0.0000000005,50000000,07,0,25,njst,50,47,47,0,0,0.000000
0.0000000005,50000000,07,0,25,split-astrid,50,47,47,1,1,0.021277
0.0000000005,50000000,07,0,25,split,50,47,47,1,1,0.021277
0.0000000005,50000000,07,0,25,astral,50,47,47,3,3,0.063830
0.0000000005,50000000,07,0,25,astrid,50,47,47,0,0,0.000000
0.0000000005,50000000,08,0,25,njst,50,47,47,3,3,0.063830
0.0000000005,50000000,08,0,25,split-astrid,50,47,47,3,3,0.063830
0.0000000005,50000000,08,0,25,split,50,47,47,9,9,0.191489
0.0000000005,50000000,08,0,25,astral,50,47,47,3,3,0.063830
0.0000000005,50000000,08,0,25,astrid,50,47,47,3,3,0.063830
0.0000000005,50000000,09,0,25,njst,50,47,47,3,3,0.063830
0.0000000005,50000000,09,0,25,split-astrid,50,47,47,4,4,0.085106
0.0000000005,50000000,09,0,25,split,50,47,47,2,2,0.042553
0.0000000005,50000000,09,0,25,astral,50,47,47,4,4,0.085106
0.0000000005,50000000,09,0,25,astrid,50,47,47,4,4,0.085106
0.0000000005,50000000,10,0,25,njst,50,47,47,1,1,0.021277
0.0000000005,50000000,10,0,25,split-astrid,50,47,47,2,2,0.042553
0.0000000005,50000000,10,0,25,split,50,47,47,3,3,0.063830
0.0000000005,50000000,10,0,25,astral,50,47,47,2,2,0.042553
0.0000000005,50000000,10,0,25,astrid,50,47,47,2,2,0.042553
0.0,1000,01,25,25,njst,50,47,47,5,5,0.106383
0.0,1000,01,25,25,split-astrid,50,47,47,4,4,0.085106
0.0,1000,01,25,25,split,50,47,47,4,4,0.085106
0.0,1000,01,25,25,astral,50,47,47,4,4,0.085106
