GENE,Lt_node,Lt_paralog,Lt_event,St_node
0001,'15_0',0,Leaf,'15'
0001,'1_0',0,Leaf,'1'
0001,'1_1',1,Leaf,'1'
0001,3,0,Dup,'1'
0001,4,0,Sp,2
0001,'7_0',0,Leaf,'7'
0001,'13_0',0,Leaf,'13'
0001,7,0,Sp,5
0001,8,0,Sp,6
0001,'16_0',0,Leaf,'16'
0001,'Lost-8_0',0,Loss,8
0001,11,0,Sp,9
0001,'8_0',0,Leaf,'8'
0001,'2_0',0,Leaf,'2'
0001,'5_0',0,Leaf,'5'
0001,15,0,Sp,13
0001,'11_0',0,Leaf,'11'
0001,'14_0',0,Leaf,'14'
0001,'9_0',0,Leaf,'9'
0001,19,0,Sp,17
0001,20,0,Sp,18
0001,'3_0',0,Leaf,'3'
0001,'20_0',0,Leaf,'20'
0001,23,0,Sp,21
0001,24,0,Sp,22
0001,25,0,Sp,23
0001,26,0,Sp,24
0001,27,0,Sp,25
0001,'6_0',0,Leaf,'6'
0001,'10_0',0,Leaf,'10'
0001,30,0,Sp,28
0001,31,0,Sp,29
0001,'12_0',0,Leaf,'12'
0001,'19_0',0,Leaf,'19'
0001,'17_0',0,Leaf,'17'
0001,35,0,Sp,33
0001,36,0,Sp,34
0001,'Lost-35_0',0,Loss,35
0001,38,0,Sp,36
0001,39,0,Sp,37
0001,40,0,Sp,38
0001,'25_0',0,Leaf,'25'
0001,'24_0',0,Leaf,'24'
0001,43,0,Sp,41
0001,'23_0',0,Leaf,'23'
0001,'22_0',0,Leaf,'22'
0001,46,0,Sp,44
0001,'21_0',0,Leaf,'21'
0001,48,0,Sp,46
0001,49,0,Sp,47
0001,50,0,Sp,48
0002,'Lost-0_0',0,Loss,0
0002,'Lost-1_0',0,Loss,1
0002,2,0,Sp,2
0002,'7_0',0,Leaf,'7'
0002,'13_0',0,Leaf,'13'
0002,5,0,Sp,5
0002,'7_1',1,Leaf,'7'
0002,'13_1',1,Leaf,'13'
0002,8,1,Sp,5
0002,9,0,Dup,5
0002,10,0,Sp,6
0002,'16_0',0,Leaf,'16'
0002,'4_0',0,Leaf,'4'
0002,13,0,Sp,9
0002,'8_0',0,Leaf,'8'
0002,'8_3',3,Leaf,'8'
0002,16,0,Dup,'8'
0002,'2_0',0,Leaf,'2'
0002,'5_0',0,Leaf,'5'
0002,19,0,Sp,13
0002,'11_0',0,Leaf,'11'
0002,'14_0',0,Leaf,'14'
0002,'9_0',0,Leaf,'9'
0002,23,0,Sp,17
0002,24,0,Sp,18
0002,'3_0',0,Leaf,'3'
0002,'20_0',0,Leaf,'20'
0002,27,0,Sp,21
0002,28,0,Sp,22
0002,29,0,Sp,23
